id,day,date,slphrs,weath,lteq,pss,se,swls,evalday,posaff,negaff,TEMP,HUM,WIND,BAR,PREC
109,0,19-Feb-09,5,0,5,3,3,4.2,1,4.6,2.1,28,0.79,11,29.4,0.2
109,1,20-Feb-09,6,1,20,2.75,4,4.8,1,5.2,1.5,20.8,0.62,3.6,30.17,0
109,3,22-Feb-09,,2,20,3,3,6.2,1,5.8,1.6,30.2,0.58,2.7,30.23,0
109,4,23-Feb-09,10,1,20,1.75,2,2.4,0,3.2,3,22.7,0.55,2.4,30.46,0
109,5,24-Feb-09,9,2,10,1.5,2,2.4,0,2.2,3.3,21.4,0.54,0.7,30.54,0
109,6,25-Feb-09,7,2,16,2.75,3,4.4,0,4,2.1,31.4,0.49,1,30.51,0
109,7,26-Feb-09,,,0,,,,0,4.8,2,45.3,0.52,1.1,30.3,0
110,0,19-Feb-09,7,0,0,3,3,6,1,5.6,2,28,0.79,11,29.4,0.2
110,1,20-Feb-09,8,0,0,3.75,3,6.8,0,6.1,1.6,20.8,0.62,3.6,30.17,0
110,2,21-Feb-09,7,1,0,2.25,3,4.2,1,4.7,1.8,29.1,0.51,1.9,30.35,0.02
110,3,22-Feb-09,7,0,0,1.75,3,4,1,4.4,2.2,30.2,0.58,2.7,30.23,0
110,4,23-Feb-09,6.5,0,0,3.25,3,5.2,1,5.4,1.7,22.7,0.55,2.4,30.46,0
110,5,24-Feb-09,6,2,0,3.25,2,5.2,0,5.3,1.8,21.4,0.54,0.7,30.54,0
110,6,25-Feb-09,8,2,0,3.5,3,5,0,4.5,1.6,31.4,0.49,1,30.51,0
110,7,26-Feb-09,7.5,4,0,2.25,2,2,1,3.5,3.6,45.3,0.52,1.1,30.3,0
111,0,19-Feb-09,7,0,8,2.25,4,5.6,1,4.8,2.2,28,0.79,11,29.4,0.2
111,1,20-Feb-09,7,2,17,2.5,2,3.25,1,3.9,3.6,20.8,0.62,3.6,30.17,0
111,2,21-Feb-09,,2,5,2,2,4,1,3.7,3.133333333,29.1,0.51,1.9,30.35,0.02
111,3,22-Feb-09,6.5,3,12,1.75,2,2.75,1,4.1,3,30.2,0.58,2.7,30.23,0
111,4,23-Feb-09,,2,8,2.25,2,3.2,1,3.3,3.7,22.7,0.55,2.4,30.46,0
111,5,24-Feb-09,,1,0,2,4,2.2,1,5,3.7,21.4,0.54,0.7,30.54,0
111,6,25-Feb-09,8,2,5,1.75,4,2,1,3.5,3,31.4,0.49,1,30.51,0
111,7,26-Feb-09,7.5,3,17,2.25,2,3.8,1,2.7,3.1,45.3,0.52,1.1,30.3,0
112,0,19-Feb-09,10,0,10,2.75,3,2.4,1,3.7,1.9,28,0.79,11,29.4,0.2
112,1,20-Feb-09,8,0,5,3.5,4,3.4,1,4.6,2,20.8,0.62,3.6,30.17,0
112,2,21-Feb-09,5,2,12,3.25,3,4,1,4.7,2.4,29.1,0.51,1.9,30.35,0.02
112,3,22-Feb-09,5,1,12,3.5,2,4,1,5.2,1.5,30.2,0.58,2.7,30.23,0
112,4,23-Feb-09,9,1,30,3.25,4,4.8,1,4.9,1.2,22.7,0.55,2.4,30.46,0
112,5,24-Feb-09,11,2,33,3.25,4,4.6,1,5,1.2,21.4,0.54,0.7,30.54,0
112,6,25-Feb-09,8,3,24,3.25,4,4.8,1,5.4,1.5,31.4,0.49,1,30.51,0
112,7,26-Feb-09,9,4,24,3.5,4,6,1,5.8,1,45.3,0.52,1.1,30.3,0
113,0,19-Feb-09,3,1,14,3.5,4,6.2,,6,1.6,28,0.79,11,29.4,0.2
113,1,20-Feb-09,8,2,15,4,5,5.8,0,6.3,1.3,20.8,0.62,3.6,30.17,0
113,2,21-Feb-09,7,3,14,4,5,6.4,1,6.1,1,29.1,0.51,1.9,30.35,0.02
113,3,22-Feb-09,7,2,18,4,4,5.4,1,5.2,1.2,30.2,0.58,2.7,30.23,0
113,4,23-Feb-09,8,2,17,4,5,5.8,1,5.3,1.6,22.7,0.55,2.4,30.46,0
113,5,24-Feb-09,5,3,21,3,5,4.2,1,5,1.6,21.4,0.54,0.7,30.54,0
113,6,25-Feb-09,6,,13,4,5,6.2,1,6,1.4,31.4,0.49,1,30.51,0
113,7,26-Feb-09,6,3,25,4,4,6.4,1,6.1,1.1,45.3,0.52,1.1,30.3,0
114,0,19-Feb-09,8,0,26,0.75,4,1.6,0,3.1,5.1,28,0.79,11,29.4,0.2
114,2,21-Feb-09,5,4,18,3.75,5,6.6,1,5.2,1.8,29.1,0.51,1.9,30.35,0.02
114,3,22-Feb-09,3,3,13,3.5,4,5.8,,5.4,2,30.2,0.58,2.7,30.23,0
114,4,23-Feb-09,14,1,18,2.5,4,3.6,1,2.9,3.2,22.7,0.55,2.4,30.46,0
114,5,24-Feb-09,8,1,37,2.5,4,5.4,0,4.8,1.7,21.4,0.54,0.7,30.54,0
114,7,26-Feb-09,8.5,4,31,3.75,4,6.2,0,4.6,1.2,45.3,0.52,1.1,30.3,0
115,0,19-Feb-09,8,0,23,3,3,2,1,3.7,4.6,28,0.79,11,29.4,0.2
116,0,19-Feb-09,5.5,1,9,1.75,4,4,,4.675,2.1,28,0.79,11,29.4,0.2
116,2,21-Feb-09,8,4,9,3,5,6,0,6.2,1.4,29.1,0.51,1.9,30.35,0.02
116,3,22-Feb-09,7,3,30,3,5,4.2,1,4,1.4,30.2,0.58,2.7,30.23,0
116,4,23-Feb-09,7.5,3,36,2.75,5,4.6,1,4.1,1.8,22.7,0.55,2.4,30.46,0
117,0,19-Feb-09,9,0,26,2.5,3,5.2,1,4.3,2.4,28,0.79,11,29.4,0.2
117,1,20-Feb-09,6,2,30,2.25,4,4.8,1,4.6,1.9,20.8,0.62,3.6,30.17,0
117,2,21-Feb-09,4,1,31,2.75,3,4.4,1,4.8,2.3,29.1,0.51,1.9,30.35,0.02
117,3,22-Feb-09,5,1,18,2.5,3,4.8,1,4.6,1.9,30.2,0.58,2.7,30.23,0
117,4,23-Feb-09,7,1,27,2.25,3,4,1,4.9,2.2,22.7,0.55,2.4,30.46,0
117,5,24-Feb-09,9,1,45,2.75,4,4,1,4.7,2.2,21.4,0.54,0.7,30.54,0
117,6,25-Feb-09,8,3,39,2,4,4.2,1,4.8,1.8,31.4,0.49,1,30.51,0
117,7,26-Feb-09,8,2,18,2,2,2.8,1,3.3,3.5,45.3,0.52,1.1,30.3,0
118,0,19-Feb-09,6.5,0,6,2.25,3,4,1,3.9,3.2,28,0.79,11,29.4,0.2
118,2,21-Feb-09,9.5,1,3,2.25,2,1.2,1,2.4,1.8,29.1,0.51,1.9,30.35,0.02
118,3,22-Feb-09,8.5,1,3,2.5,2,3.8,1,3.1,1.9,30.2,0.58,2.7,30.23,0
118,4,23-Feb-09,7,0,8,2.25,3,3.8,1,2.8,1.5,22.7,0.55,2.4,30.46,0
118,5,24-Feb-09,0,1,8,1.5,2,1.6,0,1.9,2.5,21.4,0.54,0.7,30.54,0
118,6,25-Feb-09,6,3,8,2.5,3,4,1,2.8,2.2,31.4,0.49,1,30.51,0
118,7,26-Feb-09,6,3,8,2.75,3,4.8,0,3.8,1.7,45.3,0.52,1.1,30.3,0
119,0,19-Feb-09,8,0,9,2,3,4.8,1,4.6,3.7,28,0.79,11,29.4,0.2
119,1,20-Feb-09,8,0,5,3.5,4,5.2,1,5,1,20.8,0.62,3.6,30.17,0
119,2,21-Feb-09,8,0,9,2.5,4,4,1,5.2,1.2,29.1,0.51,1.9,30.35,0.02
119,3,22-Feb-09,8,0,9,3.5,4,4.8,1,4.7,1.5,30.2,0.58,2.7,30.23,0
119,4,23-Feb-09,10,0,5,3,3,4.6,1,4.4,1.4,22.7,0.55,2.4,30.46,0
119,5,24-Feb-09,7,0,9,3.5,4,4,1,5,1,21.4,0.54,0.7,30.54,0
119,6,25-Feb-09,7,0,9,3.5,2,4.6,1,4.9,1,31.4,0.49,1,30.51,0
119,7,26-Feb-09,8,4,9,3,3,5.8,0,4.8,1.6,45.3,0.52,1.1,30.3,0
120,0,19-Feb-09,7,0,38,2.25,3,3.6,0,3.9,3.6,28,0.79,11,29.4,0.2
120,1,20-Feb-09,6.5,0,34,2.5,3,5.4,1,4.6,3.3,20.8,0.62,3.6,30.17,0
120,2,21-Feb-09,11,3,15,3,3,5.6,1,4.9,1.9,29.1,0.51,1.9,30.35,0.02
120,3,22-Feb-09,11,2,6,3,3,4.8,,,,30.2,0.58,2.7,30.23,0
120,4,23-Feb-09,6,1,20,3,3,3.4,1,3.8,2.7,22.7,0.55,2.4,30.46,0
120,5,24-Feb-09,6.5,1,17,3.25,3,4.4,1,4.3,1.9,21.4,0.54,0.7,30.54,0
120,6,25-Feb-09,,,0,,,,1,2.8,3,31.4,0.49,1,30.51,0
120,7,26-Feb-09,8,4,19,2.5,3,5,0,4.4,2,45.3,0.52,1.1,30.3,0
121,0,19-Feb-09,9,1,31,2.5,3,3.8,1,4.2,2.2,28,0.79,11,29.4,0.2
121,1,20-Feb-09,5,1,17,2.75,3,3.4,1,4,2.2,20.8,0.62,3.6,30.17,0
121,2,21-Feb-09,10,3,39,3,4,4.4,1,3.5,1.5,29.1,0.51,1.9,30.35,0.02
121,3,22-Feb-09,9,1,34,2.75,4,3.2,0,4.1,1.8,30.2,0.58,2.7,30.23,0
121,4,23-Feb-09,,,0,,,,0,3.9,1.4,22.7,0.55,2.4,30.46,0
121,5,24-Feb-09,8,2,31,2.25,3,4.2,0,4.3,1.7,21.4,0.54,0.7,30.54,0
121,6,25-Feb-09,5,2,33,2.75,4,4.2,0,4.3,1.8,31.4,0.49,1,30.51,0
121,7,26-Feb-09,9,3,37,3,4,4.8,1,4.8,1.6,45.3,0.52,1.1,30.3,0
122,0,19-Feb-09,8,0,13,1.75,1,2,1,2.8,3.4,28,0.79,11,29.4,0.2
122,1,20-Feb-09,7,0,18,2,3,4,1,4,4,20.8,0.62,3.6,30.17,0
122,2,21-Feb-09,10,2,8,2,3,4,1,4,3.5,29.1,0.51,1.9,30.35,0.02
122,3,22-Feb-09,10,2,13,2,3,4,1,4,4,30.2,0.58,2.7,30.23,0
122,4,23-Feb-09,10,2,8,2,3,4,0,4,3.3,22.7,0.55,2.4,30.46,0
122,5,24-Feb-09,5,2,21,2,3,4,0,4,3.6,21.4,0.54,0.7,30.54,0
122,6,25-Feb-09,7,2,18,2.5,3,4.2,1,4.5,3.5,31.4,0.49,1,30.51,0
123,0,19-Feb-09,6,1,9,1.75,4,4.2,0,4.9,3.6,28,0.79,11,29.4,0.2
123,1,20-Feb-09,8,2,9,2,3,5.4,1,5.1,4,20.8,0.62,3.6,30.17,0
123,2,21-Feb-09,10,3,3,3.25,4,6.2,1,5.8,2,29.1,0.51,1.9,30.35,0.02
123,3,22-Feb-09,4,3,5,2.75,3,4.8,1,5.3,3.1,30.2,0.58,2.7,30.23,0
123,4,23-Feb-09,9,1,9,2.25,4,6.2,1,6,3.1,22.7,0.55,2.4,30.46,0
123,5,24-Feb-09,5,3,18,3,4,6,1,5.3,3,21.4,0.54,0.7,30.54,0
123,6,25-Feb-09,7,4,9,3.5,5,5.6,0,6.1,2.6,31.4,0.49,1,30.51,0
123,7,26-Feb-09,7,4,14,2.5,4,4.8,0,4.3,5,45.3,0.52,1.1,30.3,0
124,0,19-Feb-09,8,0,9,1.5,3,1.8,1,3.9,5,28,0.79,11,29.4,0.2
124,2,21-Feb-09,7,2,3,3,4,4.2,1,5.3,2.5,29.1,0.51,1.9,30.35,0.02
124,3,22-Feb-09,7,1,3,2.75,4,5,1,6,2.7,30.2,0.58,2.7,30.23,0
124,4,23-Feb-09,9,0,5,1.5,3,3,0,3.5,5.2,22.7,0.55,2.4,30.46,0
124,5,24-Feb-09,6,0,9,2.25,3,4,0,4.5,3.8,21.4,0.54,0.7,30.54,0
125,0,19-Feb-09,6,0,17,1.75,3,2,0,4.2,4.8,28,0.79,11,29.4,0.2
125,1,20-Feb-09,8,0,5,1,4,3.2,1,3.1,5.1,20.8,0.62,3.6,30.17,0
125,2,21-Feb-09,4,1,5,2.25,4,4.4,1,3.4,3.5,29.1,0.51,1.9,30.35,0.02
125,3,22-Feb-09,5,2,0,2,3,3.6,1,2.7,3.8,30.2,0.58,2.7,30.23,0
125,4,23-Feb-09,8,0,5,2,2,2,1,2.4,3.8,22.7,0.55,2.4,30.46,0
125,5,24-Feb-09,7,2,0,2.25,3,3.4,1,2.4,3.4,21.4,0.54,0.7,30.54,0
125,6,25-Feb-09,7,3,0,1.5,3,2,1,2.6,2.6,31.4,0.49,1,30.51,0
125,7,26-Feb-09,7,3,0,1.75,3,2.8,0,3.4,2.3,45.3,0.52,1.1,30.3,0
126,0,19-Feb-09,5,1,8,2.25,3,2.8,1,3.4,3.3,28,0.79,11,29.4,0.2
126,1,20-Feb-09,6,2,5,3,3,4,0,4.5,3.2,20.8,0.62,3.6,30.17,0
126,2,21-Feb-09,7,3,17,3.25,3,5.4,1,4.7,2.2,29.1,0.51,1.9,30.35,0.02
126,3,22-Feb-09,3,3,17,3,1,3.4,1,4.6,2.2,30.2,0.58,2.7,30.23,0
126,4,23-Feb-09,7,0,17,1.5,1,3,1,2.9,4.3,22.7,0.55,2.4,30.46,0
126,6,25-Feb-09,7,3,17,2.25,2,5.4,0,4.3,2.2,31.4,0.49,1,30.51,0
126,7,26-Feb-09,7,4,3,2,2,4.8,1,4.3,2.2,45.3,0.52,1.1,30.3,0
127,0,19-Feb-09,8,0,30,1.75,2,2.2,1,4.5,3.3,28,0.79,11,29.4,0.2
127,1,20-Feb-09,7,2,28,3,4,4.2,1,4.2,2.4,20.8,0.62,3.6,30.17,0
127,2,21-Feb-09,8,1,24,2.25,4,3.8,1,4.9,1.8,29.1,0.51,1.9,30.35,0.02
127,3,22-Feb-09,6.5,1,15,2.25,4,2.8,0,3.8,2,30.2,0.58,2.7,30.23,0
127,4,23-Feb-09,8,1,24,1.75,3,4.2,0,3.2,2.8,22.7,0.55,2.4,30.46,0
127,7,26-Feb-09,7,3,42,2.5,4,5,0,5.1,1.2,45.3,0.52,1.1,30.3,0
128,0,19-Feb-09,7,0,3,1.25,2,2.4,1,3,4.4,28,0.79,11,29.4,0.2
128,1,20-Feb-09,5,0,0,2.25,1,3.4,1,2.1,3.2,20.8,0.62,3.6,30.17,0
129,0,19-Feb-09,10,0,9,2.25,3,4,,4.8,2,28,0.79,11,29.4,0.2
129,1,20-Feb-09,7,1,9,3,3,4,1,5.1,1.8,20.8,0.62,3.6,30.17,0
129,2,21-Feb-09,12,3,6,3,3,5.6,1,4.6,1.8,29.1,0.51,1.9,30.35,0.02
129,3,22-Feb-09,10,2,3,2.75,3,3.8,1,4.6,2.6,30.2,0.58,2.7,30.23,0
129,4,23-Feb-09,6,1,15,3,3,4.2,1,4.4,2.6,22.7,0.55,2.4,30.46,0
129,5,24-Feb-09,,,15,3.25,3,4.8,1,5,1.9,21.4,0.54,0.7,30.54,0
129,6,25-Feb-09,6,4,17,3.25,4,5.8,1,4.5,1.6,31.4,0.49,1,30.51,0
130,0,19-Feb-09,5,0,32,2.75,4,4.4,1,5,3.1,28,0.79,11,29.4,0.2
130,1,20-Feb-09,6.5,2,26,2.25,4,5,1,5.7,3.3,20.8,0.62,3.6,30.17,0
130,2,21-Feb-09,7,4,6,3.5,4,5,1,5,2,29.1,0.51,1.9,30.35,0.02
130,3,22-Feb-09,12,3,6,3.5,4,5.4,1,6,2.4,30.2,0.58,2.7,30.23,0
130,4,23-Feb-09,6,0,35,3.5,4,4,1,6,2,22.7,0.55,2.4,30.46,0
130,5,24-Feb-09,3.5,3,,3,4,6,1,5.9,2.2,21.4,0.54,0.7,30.54,0
130,6,25-Feb-09,6.5,4,45,2.25,4,5,1,3.3,3.3,31.4,0.49,1,30.51,0
130,7,26-Feb-09,5,4,50,3,4,4,0,4.5,2.3,45.3,0.52,1.1,30.3,0
201,0,19-Mar-09,6,4,6,2.5,2,4.2,1,4.5,2.3,48,0.58,7,30,0.01
201,1,20-Mar-09,5,2,19,2.75,3,6.2,1,5.6,1.4,35,0.48,6,30.2,0
201,2,21-Mar-09,4,2,10,2.25,3,6.8,1,5.5,1.5,34,0.42,7,30.41,0
201,3,22-Mar-09,6,3,3,2.25,2,3,1,4.4,3,42,0.46,5,30.4,0
201,4,23-Mar-09,7,2,12,2,2,3.8,0,4.4,2.6,35,0.36,10,30.35,0
201,5,24-Mar-09,5,3,6,2.25,2,3.2,0,4,2.4,32,0.35,8,30.43,0
201,6,25-Mar-09,6,1,3,1.75,2,2.6,0,3.7,2.9,42,0.24,3,30.35,0
201,7,26-Mar-09,5,0,3,2,2,2.4,0,5.1,2.3,39,0.8,8,30.07,0.29
202,0,19-Mar-09,7,3,19,2.25,3,3.2,0,2.3,3.1,48,0.58,7,30,0.01
202,1,20-Mar-09,3.5,2,19,3.5,3,4.4,1,2.8,3.3,35,0.48,6,30.2,0
202,2,21-Mar-09,9,2,0,3.5,3,3,1,2.7,1.9,34,0.42,7,30.41,0
202,3,22-Mar-09,9,3,9,3.5,2,3.6,1,3,2.2,42,0.46,5,30.4,0
202,4,23-Mar-09,6,2,19,3.5,4,5,0,3.9,1.9,35,0.36,10,30.35,0
202,5,24-Mar-09,6,2,19,3.5,4,4,0,3.3,2.2,32,0.35,8,30.43,0
202,6,25-Mar-09,7,2,19,3,4,4,1,2.5,2.4,42,0.24,3,30.35,0
202,7,26-Mar-09,5,1,24,3.5,3,3.6,0,2.6,2.5,39,0.8,8,30.07,0.29
203,0,19-Mar-09,7,4,3,3.25,5,6.8,1,5.8,1.2,48,0.58,7,30,0.01
203,1,20-Mar-09,7,1,,3.5,4,6.2,0,5.5,1.1,35,0.48,6,30.2,0
203,2,21-Mar-09,9,3,3,2.5,3,4.8,1,4.8,1.1,34,0.42,7,30.41,0
203,3,22-Mar-09,9,3,0,3.25,4,4.8,1,4.7,1.1,42,0.46,5,30.4,0
203,4,23-Mar-09,8,3,9,2.25,2,3.5,0,3.2,1.6,35,0.36,10,30.35,0
203,5,24-Mar-09,6.5,3,12,1,1,2.4,0,2.4,3.6,32,0.35,8,30.43,0
203,6,25-Mar-09,8,3,12,2.75,3,4.2,1,4.2,1.3,42,0.24,3,30.35,0
203,7,26-Mar-09,6.5,0,18,2.5,4,4,0,4.4,1,39,0.8,8,30.07,0.29
204,0,19-Mar-09,7,3,14,2,2,2.6,0,4.1,3.6,48,0.58,7,30,0.01
204,1,20-Mar-09,6,3,0,2.5,3,6,0,4.3,3,35,0.48,6,30.2,0
204,2,21-Mar-09,7,3,12,2,1,3.6,1,3.6,3.2,34,0.42,7,30.41,0
204,3,22-Mar-09,6,2,3,0.25,1,3.2,1,1.9,5.6,42,0.46,5,30.4,0
204,4,23-Mar-09,6.5,3,0,3.5,4,4.6,1,4.6,2.8,35,0.36,10,30.35,0
204,5,24-Mar-09,9,3,9,2.75,4,5.4,1,3.9,1.9,32,0.35,8,30.43,0
204,6,25-Mar-09,7.5,2,3,2.75,4,4.2,0,3.7,3.1,42,0.24,3,30.35,0
204,7,26-Mar-09,7,3,15,2.25,3,2.6,0,1.7,3.9,39,0.8,8,30.07,0.29
205,0,19-Mar-09,7,4,16,3,4,5.8,1,3.9,3.3,48,0.58,7,30,0.01
205,1,20-Mar-09,6,2,15,2.25,4,3.6,0,4.2,3,35,0.48,6,30.2,0
205,2,21-Mar-09,12,2,15,2,4,4.6,1,5.1,3.6,34,0.42,7,30.41,0
205,3,22-Mar-09,9,2,23,2.25,4,3.6,1,4.3,3.6,42,0.46,5,30.4,0
205,4,23-Mar-09,7,1,34,2.25,4,2.2,0,3.5,4.2,35,0.36,10,30.35,0
205,5,24-Mar-09,7,1,16,2.5,4,5.6,1,4.4,2.5,32,0.35,8,30.43,0
205,6,25-Mar-09,6,1,22,1.75,4,2.4,0,3.6,4.2,42,0.24,3,30.35,0
205,7,26-Mar-09,7,0,16,2.75,3,5.4,0,5.1,3.1,39,0.8,8,30.07,0.29
206,0,19-Mar-09,7,3,28,2,4,4,1,3.5,2.5,48,0.58,7,30,0.01
206,1,20-Mar-09,7,2,13,2,3,3.8,1,3.7,2.3,35,0.48,6,30.2,0
206,2,21-Mar-09,7,3,31,3,3,3.2,1,2.7,3.1,34,0.42,7,30.41,0
206,3,22-Mar-09,6,3,29,2.75,4,3.6,1,3.3,3.3,42,0.46,5,30.4,0
206,4,23-Mar-09,5,2,21,2.75,4,1.8,0,2.1,2.875,35,0.36,10,30.35,0
206,5,24-Mar-09,8,3,30,3.5,4,5.2,0,4.9,1.9,32,0.35,8,30.43,0
206,6,25-Mar-09,7,2,25,3.5,4,4,0,3.8,2,42,0.24,3,30.35,0
206,7,26-Mar-09,5,4,31,3,3,1.2,1,3.3,3.8,39,0.8,8,30.07,0.29
207,0,19-Mar-09,7,2,3,2.75,4,4.8,1,5.4,3.1,48,0.58,7,30,0.01
207,1,20-Mar-09,7,1,5,2.25,3,4.2,1,4.3,3.5,35,0.48,6,30.2,0
207,2,21-Mar-09,9.5,2,0,2.75,4,4,1,4.9,3.6,34,0.42,7,30.41,0
